,,,
,,,
Store,Store Name,Store Type,LFL Flag
73615,LIFESTYLE INTERNATIONAL PVT LTD (DISTRIBUTION WH-BNG),WAREHOUSE DIST,WH
73524,LS PHOTO SHOOT CORPORATE OFFICE,WAREHOUSE LOIPL,WH
73579,LS-BANGALORE TRANSIT WH FOR LOIPL,WAREHOUSE LOIPL,WH
1172,VENUE SALES MUMBAI,VENUE SALE,WH Closed
1177,GURGAON TRANSIT WH WHOLE SALE,VENUE SALE,WH Closed
1179,HYDERABAD TRANSIT WH WHOLE SALE,VENUE SALE,WH Closed
1175,VENUE SALES-TAMILNADU,VENUE SALE,WH Closed
1176,LS VENUE SALES KARNATAKA,VENUE SALE,WH Closed
1299,LS-RETAIL WHOLE SALE CHENNAI,VENUE SALE,WH Closed
1407,LS-RETAIL WHOLE SALE GURGAON,VENUE SALE,WH Closed
1624,LS-RETAIL WHOLE SALE MUMBAI,VENUE SALE,WH Closed
2263,VENUE SALE - BNG,VENUE SALE,WH Closed
3573,LS-RETAIL WHOLE SALE KORALUR VILLAGE-HOSAKOTE,VENUE SALE,WH Closed
3575,LS-RETAIL WHOLE SALE HYDERABAD,VENUE SALE,WH Closed
71612,MUMBAI VIRTUAL WAREHOUSE,WAREHOUSE,WH Closed
71618,NAGPUR WAREHOUSE,WAREHOUSE,WH Closed
71621,PUNE VIRTUAL  WAREHOUSE,WAREHOUSE,WH Closed
71652,THANE WAREHOUSE,WAREHOUSE,WH Closed
71657,PUNE SPORTS CLUB WAREHOUSE,WAREHOUSE,WH Closed
71663,AHAMEDABAD NEW W/H,WAREHOUSE,WH Closed
71672,SURAT WAREHOUSE,WAREHOUSE,WH Closed
71698,LS BHOPAL WAREHOUSE,WAREHOUSE,WH Closed
71761,KOLKATTA WAREHOUSE OLD,WAREHOUSE,WH Closed
73611,LIFESTYLE INTERNATIONAL PVT LTD (DISTRIBUTION WH-GUR),WAREHOUSE DIST,WH Closed
73612,LIFESTYLE INTERNATIONAL PVT LTD (DISTRIBUTION WH-BHW),WAREHOUSE DIST,WH Closed
73614,LIFESTYLE INTERNATIONAL PVT LTD (DISTRIBUTION WH-CHN),WAREHOUSE DIST,WH Closed
